Number,First_Name,Last_Name,GP,BLK,G,A,PTS,SH,SH_PCT,Plus_Minus,PPG,SHG,FG,GWG,GTG,OTG,HTG,UAG,PN-PIM,MIN,MAJ,OTH
15,Dominik,Bartecko,31,13,7,7,14,56,.125,-14,0,1,1,0,0,0,0,1,7-22,6,0,0
18,Jacob,LeBlanc,31,15,0,14,14,33,.000,-8,0,0,0,0,0,0,0,0,10-28,9,0,1
21,Will,Schumacher,20,11,8,5,13,46,.174,-3,1,0,1,1,0,0,0,0,7-17,6,1,0
9,Sean,James,25,10,6,4,10,25,.240,-9,3,0,0,1,0,0,0,1,6-12,6,0,0
14,Andrew,LeBlanc,20,3,4,6,10,37,.108,-8,0,0,1,0,0,0,0,0,10-20,10,0,0
8,Brendan,Lamb,31,12,5,4,9,39,.128,-22,0,0,1,1,0,0,0,1,4-8,4,0,0
16,Ryan,Coughlin,32,18,2,7,9,36,.056,-12,1,0,0,0,0,0,0,0,1-2,1,0,0
2,Lukas,Klemm,26,34,1,7,8,29,.034,-7,0,0,0,0,1,0,0,0,4-8,4,0,0
23,Christian,Kocsis,32,37,4,3,7,41,.098,-22,1,0,2,1,0,0,0,0,3-6,3,0,0
7,Tyler,DesRochers,29,31,2,4,6,35,.057,-15,0,0,0,0,0,0,0,0,9-18,9,0,0
27,Alexander,Dimitriadis,23,11,3,1,4,22,.136,-3,1,0,0,0,0,0,0,1,2-4,2,0,0
24,Matteo,Disipio,29,7,1,3,4,23,.043,-12,1,0,0,0,0,0,0,0,0-0,0,0,0
10,Francesco,Iasenza,24,23,1,3,4,19,.053,-12,0,0,0,0,0,0,0,0,11-22,11,0,0
3,John,Larkin,31,37,1,3,4,30,.033,-19,1,0,0,0,0,0,0,0,10-28,9,0,1
5,Caleb,Price,29,52,0,4,4,36,.000,-16,0,0,0,0,0,0,0,0,4-8,4,0,0
19,Riley,Fitzgerald,15,4,3,0,3,10,.300,-6,1,0,2,1,0,0,0,0,5-29,2,1,1
37,Connor,Pelc,21,9,1,2,3,22,.045,-6,0,0,0,0,0,0,0,0,6-20,5,0,1
26,Spencer,Smith,14,9,1,2,3,13,.077,-9,0,0,0,0,0,0,0,0,1-2,1,0,0
6,Trent,Sambrook,16,29,0,3,3,19,.000,-8,0,0,0,0,0,0,0,0,1-2,1,0,0
11,Barrett,Brooks,29,26,2,0,2,24,.083,-13,0,0,0,0,0,0,0,0,4-8,4,0,0
22,Noah,Sedore,16,4,0,2,2,24,.000,-11,0,0,0,0,0,0,0,0,3-14,2,0,1
28,Tyler,Nasca,20,10,1,0,1,12,.083,-3,0,0,0,0,0,0,0,0,1-2,1,0,0
33,Salvatore,Evola,10,0,0,1,1,0,.000,0,0,0,0,0,0,0,0,0,0-0,0,0,0
1,Michael,Chambre,4,0,0,0,0,0,.000,0,0,0,0,0,0,0,0,0,0-0,0,0,0
29,Charles-Edward,Gravel,24,0,0,0,0,0,.000,0,0,0,0,0,0,0,0,0,0-0,0,0,0
43,Tyler,Haskins,2,2,0,0,0,1,.000,-1,0,0,0,0,0,0,0,0,0-0,0,0,0
20,Kaden,Muir,25,21,0,0,0,10,.000,-15,0,0,0,0,0,0,0,0,12-32,11,0,1
4,Jaryd,Sych,22,11,0,0,0,6,.000,-5,0,0,0,0,0,0,0,0,2-4,2,0,0

